# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       6944   C+G      -      -      -      -      -      -    steamwebhelper 
    0     795707     G      -      -      -      -      -      -    dolphin        
    0     975570     C      -      -      -      -      -      -    llama-server   
    0    1004891     C      -      -      -      -      -      -    python         
    0    1040581   C+G      -      -      -      -      -      -    UnrealGame     
    0    2010196   C+G      -      -      -      -      -      -    swaync         
    0    2010222     G      3      0      -      -      -      -    plasmashell    
    0    2236980     G      -      -      -      -      -      -    spectacle      
    0       1793     G      -      -      -      -      -      -    ksecretd       
    0       1922     G      6      0      -      -      -      -    kwin_wayland   
    0       1980     G      -      -      -      -      -      -    Xwayland       
    0       2023     G      -      -      -      -      -      -    ksmserver      
    0       2025     G      -      -      -      -      -      -    kded6          
    0       2185     G      -      -      -      -      -      -    kaccess        
    0       2186     G      -      -      -      -      -      -    polkit-kde-auth
    0       2284     G      -      -      -      -      -      -    kdeconnectd    
    0       2544     G     12      1      -      -      -      -    firefox        
    0       2606     G      -      -      -      -      -      -    python3        
    0       2706     G      -      -      -      -      -      -    xdg-desktop-por
    0       2743     G      -      -      -      -      -      -    Telegram       
    0       2866   C+G      -      -      -      -      -      -    blender        
    0       3326   C+G      -      -      -      -      -      -    Code --gpu-    
    0       3372     G      -      -      -      -      -      -    kwalletd6      
    0       3383     G      -      -      -      -      -      -    ap             
    0       3466     G      -      -      -      -      -      -    steam          
    0       6866     G      -      -      -      -      -      -    steamwebhelper 
    0       6944   C+G      -      -      -      -      -      -    steamwebhelper 
    0     795707     G      -      -      -      -      -      -    dolphin        
    0     975570     C      -      -      -      -      -      -    llama-server   
    0    1004891     C      -      -      -      -      -      -    python         
    0    1040581   C+G      -      -      -      -      -      -    UnrealGame     
    0    2010196   C+G      -      -      -      -      -      -    swaync         
    0    2010222     G      8      1      -      -      -      -    plasmashell    
    0    2236980     G      -      -      -      -      -      -    spectacle      
    0       1793     G      -      -      -      -      -      -    ksecretd       
    0       1922     G      7      1      -      -      -      -    kwin_wayland   
    0       1980     G      -      -      -      -      -      -    Xwayland       
    0       2023     G      -      -      -      -      -      -    ksmserver      
    0       2025     G      -      -      -      -      -      -    kded6          
    0       2185     G      -      -      -      -      -      -    kaccess        
    0       2186     G      -      -      -      -      -      -    polkit-kde-auth
    0       2284     G      -      -      -      -      -      -    kdeconnectd    
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2544     G      3      0      -      -      -      -    firefox        
    0       2606     G      -      -      -      -      -      -    python3        
    0       2706     G      -      -      -      -      -      -    xdg-desktop-por
    0       2743     G      -      -      -      -      -      -    Telegram       
    0       2866   C+G      -      -      -      -      -      -    blender        
    0       3326   C+G      2      0      -      -      -      -    Code --gpu-    
    0       3372     G      -      -      -      -      -      -    kwalletd6      
    0       3383     G      -      -      -      -      -      -    ap             
    0       3466     G      -      -      -      -      -      -    steam          
    0       6866     G      -      -      -      -      -      -    steamwebhelper 
    0       6944   C+G      -      -      -      -      -      -    steamwebhelper 
    0     795707     G      -      -      -      -      -      -    dolphin        
    0     975570     C      -      -      -      -      -      -    llama-server   
    0    1004891     C      -      -      -      -      -      -    python         
    0    1040581   C+G      -      -      -      -      -      -    UnrealGame     
    0    2010196   C+G      -      -      -      -      -      -    swaync         
    0    2010222     G      6      0      -      -      -      -    plasmashell    
    0    2236980     G      -      -      -      -      -      -    spectacle      
    0       1793     G      -      -      -      -      -      -    ksecretd       
    0       1922     G     16      3      -      -      -      -    kwin_wayland   
    0       1980     G      -      -      -      -      -      -    Xwayland       
    0       2023     G      -      -      -      -      -      -    ksmserver      
    0       2025     G      -      -      -      -      -      -    kded6          
    0       2185     G      -      -      -      -      -      -    kaccess        
    0       2186     G      -      -      -      -      -      -    polkit-kde-auth
    0       2284     G      -      -      -      -      -      -    kdeconnectd    
    0       2544     G      8      1      -      -      -      -    firefox        
    0       2606     G      -      -      -      -      -      -    python3        
    0       2706     G      -      -      -      -      -      -    xdg-desktop-por
    0       2743     G      -      -      -      -      -      -    Telegram       
    0       2866   C+G      -      -      -      -      -      -    blender        
    0       3326   C+G      -      -      -      -      -      -    Code --gpu-    
    0       3372     G      -      -      -      -      -      -    kwalletd6      
    0       3383     G      -      -      -      -      -      -    ap             
    0       3466     G      -      -      -      -      -      -    steam          
    0       6866     G      -      -      -      -      -      -    steamwebhelper 
    0       6944   C+G      -      -      -      -      -      -    steamwebhelper 
    0     795707     G      -      -      -      -      -      -    dolphin        
    0     975570     C      -      -      -      -      -      -    llama-server   
    0    1004891     C      -      -      -      -      -      -    python         
    0    1040581   C+G      -      -      -      -      -      -    UnrealGame     
    0    2010196   C+G      -      -      -      -      -      -    swaync         
    0    2010222     G      7      1      -      -      -      -    plasmashell    
    0    2236980     G      -      -      -      -      -      -    spectacle      
